sent_at,prospect_nom,metier,ville,email,subject,body,status,notes
2026-04-19T21:38:23Z,Mon Copain Plombier,plombier,,contact@moncopainplombier.com,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans plombier a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour Mon Copain Plombier si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=2faa8fec-3fa5-4b01-b1a8-034ea3c207f3"
2026-04-19T21:38:31Z,Saniconfort,plomberie / chauffage,Amiens,sarlsaniconfort@gmail.com,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans plomberie / chauffage a Amiens a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour Saniconfort si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=b4808e9c-fba3-4f7b-b84f-77ef5377f7c1"
2026-04-19T21:38:39Z,PRESTA SERVICES 34,electricien,,contact@prestaservices34.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans electricien a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour PRESTA SERVICES 34 si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=0f48b35b-4f6a-4113-a2e3-d00913f91ca7"
2026-04-19T21:38:45Z,Fibrelec 31,electricien,Toulouse,contact@fibrelec31.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans electricien a Toulouse a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour Fibrelec 31 si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=64e6b81d-02f2-49ce-bcf4-a0d32755f7a3"
2026-04-19T21:38:52Z,DMC BATI,macon,,contact@dmcbati.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans macon a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour DMC BATI si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=db1d3e6e-268a-4578-85e1-0940696fb8ac"
2026-04-19T21:38:59Z,SARL Lasco,macon du patrimoine,,contact@batir-lasco.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans macon du patrimoine a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour SARL Lasco si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=ce904f14-8a5d-4e81-97ec-a30b92a8ba9e"
2026-04-19T21:39:05Z,START ELECTRICITE,electricien,,contact@start-electricite.com,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans electricien a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour START ELECTRICITE si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=1a0f9645-d1f5-4e1e-96df-ec637eea5e9d"
2026-04-19T21:39:15Z,ELEC 2F,electricien,,elec2f@orange.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans electricien a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour ELEC 2F si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=0fc9900f-87e5-4509-b6f7-25e2de55f666"
2026-04-19T21:39:22Z,Courants Lyonnais,electricien,Lyon,contact@courantslyonnais.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans electricien a Lyon a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour Courants Lyonnais si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; verified_alt_found_but_unused; email_id=ed99975a-e92f-42a7-9f37-a1bd9e9bec50"
2026-04-19T21:39:31Z,BRUCELEC,electricien,Bordeaux,contact@brucelec.fr,"Votre trésorerie sur 90 jours — depuis votre téléphone","Bonjour,\n\nJe vous contacte car BatiFlow aide les artisans electricien a Bordeaux a piloter leur tresorerie sur 90 jours directement depuis leur telephone.\n\nL'outil permet de voir les encaissements a venir, les depenses chantier et les semaines ou la tresorerie risque de se tendre, sans tableur complique.\n\nJe pense que cela peut etre utile pour BRUCELEC si vous gerez plusieurs devis, acomptes et reglements en parallele.\n\nSi vous voulez voir le fonctionnement : https://pagehush.nanocorp.app\n\nBien a vous,\nL'equipe BatiFlow\n",sent,"source=search_prospects_external+site_contact; email_id=cbff4f15-2d34-44f6-918b-339c56c9aad0"
